location_no,latitude,longitude,location_detail,total_passengers,total_vehicles,four_wheelers,two_wheelers,auto_rickshaws,minibuses,local_buses,intercity_buses,cycles
V1,18.584786,73.830137,Dapodi Bridge (on NH-4 going to Pune),466672,120527,35145,50938,20079,1209,3142,2265,7684
V2,18.5679847567044,73.811530440426,Aundh Bridge (on Aund-Ravet Road),413078,87087,23932,26384,20233,3742,2547,3854,6395
V3,18.595050240112,73.7560857035875,Bangalore Highway (after Wakad Junction),132345,55123,31689,18863,1071,1159,194,1984,163
V4,18.6209896827046,73.8102643016146,Mumbai Pune Expressway,86734,28935,21784,5425,514,177,284,658,93
V5,18.6097452875515,73.8230463772258,Nashik Highway (NH-50) before Toll Plaza,149451,41495,15940,17502,4643,958,764,1018,670
V6,18.6744635311382,73.7629152565771,On NH-4 before Nigdi Junction,321828,68856,23693,20041,14366,374,3714,1229,5426
V7,18.6429521381656,73.7916287859528,Between Nigdi Junction & Chinchwad Jn,168137,66439,19224,30211,8776,1261,2026,1512,3429
V8,18.6180755053554,73.8124401832978,Between Pimpri Jn & Kasarwadi Jn,178697,79216,18564,42152,10555,891,2049,2083,2912
V9,18.6503695935447,73.8095659528409,Before KSB Chowk (after Thermax),81219,51318,12293,25522,9036,330,321,528,3288
V10,18.6229003978835,73.8389280761173,On Telco Road - between KSB Chowk & NH-50,78688,51843,9791,28096,6836,304,325,749,5742
V11,18.6087091716896,73.7708657545392,Between Kalewadi Chowk & Dange Chowk,80951,37266,6897,19183,5257,352,899,537,4140
V12,18.6815814367297,73.8270667337904,On Dehu-Alandi Rd,11700,9228,1717,5983,965,26,1,5,524
V13,18.6796110340149,73.7878652486397,On Nigdi Jn to Dehu-Alandi Rd,18415,12595,2811,6737,934,191,24,92,1797
V14,18.6285818260469,73.8517855256004,On NH-50 at Bhosari,86264,42801,11003,23617,5235,281,853,316,1495
V15,18.5736645853679,73.8331420279424,Small bridge parallel to Dapodi bridge (Bopodi),96118,46540,13790,19770,5138,330,985,185,6342
