location_no,latitude,longitude,location_detail,total_vehicles,Passenger_Car_Units,Ratio
SL45,18.5511020916592,74.0272987134649,Theur Kesanand Road ,11085,13358,1.20505187189896
SL 1,18.7925385438416,73.6948781123691,Talegaon Industrial Area ,16177,22303,1.3786857884651
SL37,18.6142011464405,73.8070402184475,Power House Road ,17564,14671,0.835288089273514
L18,18.5811257715614,73.9848684014296,Lohegaon-Wagholi Road ,18217,17420,0.956249656913872
SL23,18.5147119245506,73.8438987674743,"Kakasaheb Gadgil Bridge, Z Bridge",18942,14082,0.743427304402914
L15,18.5694479532008,73.7656685479147,"Nande-Balewadi Roa, Mahalunge",19425,16789,0.864298584298584
L16,18.5212242921662,73.9824507378611,"Manjari Village, Manjari Road ",21115,19814,0.93838503433578
SL44,18.5242426173766,73.9854549467494,Manjari Village ,21115,19814,0.93838503433578
MB7,18.5133783875941,73.8488581571228,RB Kumthekar Road,23973,24532,1.02331789930338
SL38,18.5948095074949,73.8177268073645,Pimple Gurav Road ,26495,21693,0.818758256274769
SL5,18.5690334863804,73.8322622295468,Bhau Patil Road ,28126,26883,0.955806015786105
SL8,18.5702496848411,73.8789518118109,Dhanori Alandi Road ,28680,25627,0.893549511854951
SL36,18.6188099880839,73.8033655574959,Jawaharlal Nehru Road ,29086,23188,0.797222031217768
MB11,18.6399241250806,73.806480258112,Morwadi Road,31678,28968,0.914451669928657
SL16,18.5052540266729,73.9170408116092,"Solapur Road, Kirloskar",31771,34798,1.09527556576752
L14,18.5470184970168,73.77361121832,Sus Road ,33449,30563,0.913719393703848
L5,18.4653054085865,73.9621705224708,Saswad Road ,38514,39926,1.03666199304149
L6,18.451846096366,73.8912239612165,Saswad-Bopdev Road ,38981,36008,0.923732074600446
SL12,18.5279644643373,73.8762073970107,Connaught Road ,42958,46444,1.08114902928442
SL48,18.5648152414419,73.7886683313968,Mahatma Jyotiba Phule Bridge ,44051,37466,0.850514176749677
SL22,18.5135450257866,73.8432479179032,Sambhaji Bridge ,44615,61991,1.38946542642609
SL21,18.5119179665772,73.8414787583818,"Shivaram Mhatre Road, Chavan Bridge",44752,33412,0.746603503754022
SL15,18.5177131490524,73.9068276276961,BT Kawade Road ,45658,40263,0.881838889132244
L9,18.5042723965421,73.7639641559935,"Near Bhugaon, Mulshi Road ",47080,42854,0.910237892948173
SL43,18.5301444933938,73.9097267319393,Ghorpadi Road ,48023,43673,0.909418403681569
SL41,18.5852236372173,73.8319932522898,Dapodi Bridge ,50160,45341,0.903927432216906
SL4,18.7166628595076,73.7679068379063,Dehu ,50694,47695,0.940841125182467
MB3,18.6625642982992,73.8167797566092,Spine Road,51295,47836,0.932566526951945
