S.No.,BRT Section,Section of corridor,From,To,Projected Bus trips for 2008 (passenger trips per day)
1,BRT – 1: Aundh Rawet,Rajiv Gandhi bridge to Sangvi phata,"18.568476685017327, 73.81142086626657","18.576485961886906, 73.80357373134557",57381
2,BRT – 1: Aundh Rawet,Sangvi phata To Kalewadi phata,"18.576485961886906, 73.80357373134557","18.603733601290177, 73.77728857581707",37490
3,BRT – 1: Aundh Rawet,Kalewadi phata To Dange Chowk,"18.603733601290177, 73.77728857581707","18.615449565645168, 73.76538758095008",13342
4,BRT – 1: Aundh Rawet,Dange Chowk To Thatawade,"18.615449565645168, 73.76538758095008","18.628335175230696, 73.75415802602402",12151
5,BRT – 1: Aundh Rawet,Thatawade To Punawale,"18.628335175230696, 73.75415802602402","18.639143550525755, 73.75021310370362",8433
6,BRT – 1: Aundh Rawet,Punawale To Mumabai/Bangalore Expressway,"18.639143550525755, 73.75021310370362","18.660681693723966, 73.73221072032013",8381
7,BRT – 2: Old NH-4,Dapodi to Nashik phata,"18.57491298185976, 73.83611116234837","18.60707865253057, 73.82222109197491",189427
8,BRT – 2: Old NH-5,Nashik phata To Pimpri Chowk,"18.60707865253057, 73.82222109197491","18.626308249681692, 73.80561630674606",111857
9,BRT – 2: Old NH-6,Pimpri Chowk To Finolex Cable,"18.626308249681692, 73.80561630674606","18.62971886578555, 73.80275820370113",102159
10,BRT – 2: Old NH-7,Finolex Cable To Chichwad Chowk,"18.62971886578555, 73.80275820370113","18.63856688241097, 73.79523800251043",96065
11,BRT – 2: Old NH-8,Chichwad Chowk to Nigdi,"18.63856688241097, 73.79523800251043","18.664130300879282, 73.77287948531507",80310
12,BRT – 3: Telco Road,Nashik road to Landewadi,"18.60707865253057, 73.82222109197491","18.61613384792102, 73.84386200032185",19031
13,BRT – 3: Telco Road,Landewadi To Sadan Chowk,"18.61613384792102, 73.84386200032185","18.623623420023147, 73.83826864693495",9333
14,BRT – 3: Telco Road,Sadan Chowk To Balaji Nagar,"18.623623420023147, 73.83826864693495","18.632536181337073, 73.82968957455887",16489
15,BRT – 3: Telco Road,Balaji Nagar To Gavali Math,"18.632536181337073, 73.82968957455887","18.637825231697683, 73.82543790370119",16551
16,BRT – 3: Telco Road,Gavali Math To Tata Motors,"18.637825231697683, 73.82543790370119","18.644433126944723, 73.81852853327668",13146
17,BRT – 3: Telco Road,Tata Motors To KSB Chowk,"18.644433126944723, 73.81852853327668","18.650411020180613, 73.80935320852521",13912
18,BRT – 3: Telco Road,KSB Chowk To Thermax,"18.650411020180613, 73.80935320852521","18.65986423839699, 73.79500480969024",12699
19,BRT – 3: Telco Road,Thermax To Triveni Nagar,"18.65986423839699, 73.79500480969024","18.667548807682966, 73.78633515497174",12757
20,BRT – 4: Dehu Alandi,Dehu to Talwade,"18.716764827393142, 73.76793394329285","18.70652403917197, 73.78109653213473",11558
21,BRT – 4: Dehu Alandi,Talwade To Chikhali,"18.70652403917197, 73.78109653213473","18.682464178466528, 73.8183375876144",3475
22,BRT – 4: Dehu Alandi,Chikhali To NH 50 junction,"18.682464178466528, 73.8183375876144","18.67937252436377, 73.84923842782163",12952
23,BRT – 4: Dehu Alandi,NH 50 junction To Alandi junction,"18.67937252436377, 73.84923842782163","18.671399413176413, 73.89175070820947",16051
24,BRT – 4: Dehu Alandi,Alandi junction To Alandi Bus stand,"18.671399413176413, 73.89175070820947","18.674846009868368, 73.89678491838467",12841
25,BRT – 5: NH – 50,Kasarwadi to Telco road junction,"18.60704722949347, 73.82213063838236","18.6158091385082, 73.8454542595633",27167
26,BRT – 5: NH – 51,Telco road junction To Bhosari,"18.6158091385082, 73.8454542595633","18.623412878503647, 73.85123101287573",24697
27,BRT – 5: NH – 52,Bhosari To Spine road junction,"18.623412878503647, 73.85123101287573","18.647803360525618, 73.85075823677072",14669
28,BRT – 5: NH – 53,Spine road junction To Moshi gowthan,"18.647803360525618, 73.85075823677072","18.657978960098944, 73.84902258474018",36184
29,BRT – 5: NH – 54,Moshi gowthan To Moshi-Borhadewadi,"18.657978960098944, 73.84902258474018","18.661563530732387, 73.84865019020289",40629
30,BRT – 5: NH – 55,Moshi-Borhadewadi To Dehu Alandi road,"18.661563530732387, 73.84865019020289","18.67158375828993, 73.89085859945794",39418
