Date,Depot,buses_held,avg_on_road,avg_off_road,schedules_planned,avg_schedules_operated,planned_km,effective_km,daily_avg_effective_km,km_per_bus_per_day,cancelled_km,daily_avg_cancelled_km,pct_cancelled_km,ticket_sale_earning,daily_avg_ticket_earning,epk_ticket,load_factor_overall,load_factor_ticket,load_factor_all_traffic,fleet_utilization_pct,ticket_passengers_per_day,accidents_fatal,accidents_major,accidents_minor,accidents_insignificant,accidents_total,accident_rate_per_lakh_km,complaints,routes_operated,avg_route_length_km,all_traffic_earning,daily_avg_all_traffic,epk_total,earning_per_bus_per_day,total_passengers_travelled,passengers_per_day,avg_passengers_per_bus_per_day,earning_per_passenger_per_day
Apr 2023,Swargate,18,16,2,18,16,136179,119978,3999,249.95,16201,540,11.90,5526755,184225,46.06,62.04,74.25,80.37,88.89,8922,0,0,0,0,0,0,,1,25.95,5982671,199422,49.86,12464,309907,10330,645.64,19.30
Apr 2023,N.T.Wadi,102,97,5,102,97,791637,694287,23143,238.59,97350,3245,12.30,28317943,943931,40.79,70.00,58.27,63.70,95.10,46858,0,0,0,0,0,0,,18,20.53,30956233,1031874,44.59,10638,1627632,54254,559.32,19.02
Apr 2023,Kothrud,74,73,1,74,73,437919,416401,13880,190.14,21518,717,4.91,18808819,626961,45.17,58.50,77.21,83.70,98.65,40449,0,0,0,0,0,0,,9,26.16,20391141,679705,48.97,9311,1405002,46833,641.55,14.51
Apr 2023,Katraj,126,114,12,126,114,777782,687455,22915,201.01,90327,3011,11.61,33774273,1125809,49.13,67.42,72.87,78.51,90.48,71287,0,0,0,0,0,0,,22,18.49,36386602,1212887,52.93,10639,2476171,82539,724.03,14.69
Apr 2023,Hadapsar,23,21,2,23,21,153720,151706,5057,240.80,2014,67,1.31,7326691,244223,48.30,62.48,77.29,83.37,91.30,12942,0,0,0,0,0,0,,2,28.48,7903173,263439,52.10,12545,449528,14984,713.54,17.58
Apr 2023,M.Yard,64,55,9,64,55,413520,346850,11562,210.21,66671,2222,16.12,16069778,535659,46.33,70.82,65.42,70.79,85.94,33452,0,0,0,0,0,0,,17,27.73,17387806,579594,50.13,10538,1161961,38732,704.22,14.96
Apr 2023,Pune Station,92,78,14,92,78,650157,578206,19274,247.10,71951,2398,11.07,24267700,808923,41.97,60.90,68.91,75.15,84.78,40748,0,0,0,0,0,0,,20,30.24,26464884,882163,45.77,11310,1415396,47180,604.87,18.70
Apr 2023,Nigadi,93,75,18,93,75,663957,633313,21110,281.47,30644,1021,4.62,28381105,946037,44.81,61.64,72.70,78.87,80.65,51834,0,0,0,0,0,0,,15,26.49,30787695,1026257,48.61,13683,1800461,60015,800.20,17.10
Apr 2023,Bhosari,47,43,4,47,43,374472,368261,12275,285.47,6211,207,1.66,16538816,551294,44.91,64.98,69.12,74.97,91.49,34839,0,0,0,0,0,0,,11,23.67,17938206,597940,48.71,13906,1210136,40338,938.09,14.82
Apr 2023,Pimpri,67,52,15,67,52,482190,397332,13244,254.70,84858,2829,17.60,14444653,481488,36.35,67.08,54.20,59.86,77.61,33151,0,0,0,0,0,0,,20,19.93,15954513,531817,40.15,10227,1151521,38384,738.15,13.86
Apr 2023,Bhekrai Nagar,42,37,5,42,37,303750,283317,9444,255.24,20433,681,6.73,13318603,443953,47.01,55.78,84.28,91.10,88.10,23868,0,0,0,0,0,0,,4,29.35,14395206,479840,50.81,12969,829075,27636,746.91,17.36
Apr 2023,Shewalwadi,14,14,0,14,14,90900,86656,2889,206.32,4244,141,4.67,4117737,137258,47.52,56.43,84.21,90.94,100.00,9743,0,0,0,0,0,0,,2,27.03,4447029,148234,51.32,10588,338418,11281,805.76,13.14
Apr 2023,Balewadi,23,10,13,23,10,149568,143590,4786,478.63,5978,199,4.00,5835430,194514,40.64,58.12,69.92,76.46,43.48,13009,0,0,0,0,0,0,,5,25.19,6381072,212702,44.44,21270,451869,15062,1506.23,14.12
Apr 2023,Baner,27,23,4,27,23,157818,153332,5111,222.22,4486,150,2.84,6012255,200409,39.21,61.75,63.50,69.65,85.19,12105,0,0,0,0,0,0,,6,23.57,6594917,219831,43.01,9558,420466,14016,609.37,15.68
Apr 2023,Wagholi,59,59,0,59,59,317919,288151,9605,162.80,29768,992,9.36,14573487,485783,50.58,62.99,80.29,86.32,100.00,23512,0,0,0,0,0,0,,7,23.47,15668461,522282,54.38,8852,816693,27223,461.41,19.19
Apr 2023,System Total,871,767,104,871,767,5901488,5348833,178294,232.46,552655,18422,9.36,237314045,7910468,44.37,62.73,70.73,76.79,88.06,456718,0,0,0,0,0,0,19,159,24.09,257639609,8587987,48.17,11197,15864234,528808,689.45,16.24
Aug 2023,Swargate,19,17,2,19,17,145368,123752,3992,230.24,21617,697,14.87,6764235,218201,54.66,73.93,73.93,80.60,91.26,10385,0,0,0,0,0,0.00,,2,19.68,7374330,237882,59.59,13720,374989,12096,697.65,19.67
Aug 2023,N.T.Wadi,104,90,14,104,90,775307,685669,22118,245.28,89638,2892,11.56,32030037,1033227,46.71,71.48,65.35,72.24,86.71,51678,3,0,0,0,3,0.44,,19,20.40,35410384,1142270,51.64,12667,1865959,60192,667.49,18.98
Aug 2023,Kothrud,73,69,4,73,69,464482,427045,13776,199.37,37438,1208,8.06,21653924,698514,50.71,60.67,83.58,91.70,94.65,47155,0,0,0,0,0,0.00,,10,25.48,23759254,766428,55.64,11092,1702616,54923,794.87,13.95
Aug 2023,Katraj,126,115,11,126,115,801584,741928,23933,208.79,59656,1924,7.44,40072184,1292651,54.01,68.41,78.95,86.16,90.98,81875,0,0,0,0,0,0.00,,23,18.13,43729889,1410642,58.94,12306,2956271,95364,831.93,14.79
Aug 2023,Hadapsar,28,25,3,28,25,227205,216471,6983,277.35,10735,346,4.72,10957248,353460,50.62,60.06,84.28,92.49,89.92,18101,0,0,0,0,0,0.00,,3,29.85,12024448,387885,55.55,15406,653583,21083,837.39,18.40
Aug 2023,Upper Depot,64,57,7,64,57,424099,379606,12245,214.47,44493,1435,10.49,18597584,599922,48.99,70.82,69.18,76.14,89.21,39850,0,0,0,0,0,0.00,,17,27.73,20469039,660292,53.92,11564,1438865,46415,812.92,14.23
Aug 2023,Pune Station,93,80,13,93,80,691371,585847,18898,236.95,105525,3404,15.26,28634133,923682,48.88,61.32,79.70,87.74,85.76,44305,0,0,0,0,0,0.00,,20,30.62,31522357,1016850,53.81,12749,1599733,51604,647.01,19.70
Aug 2023,Nigadi,92,80,12,92,80,692534,635098,20487,256.29,57436,1853,8.29,33433150,1078489,52.64,61.43,85.70,93.73,86.89,58397,0,0,0,0,0,0.00,,14,26.61,36564182,1179490,57.57,14756,2108547,68018,850.91,17.34
Aug 2023,Bhosari,53,41,12,53,41,355855,330821,10672,257.25,25034,808,7.03,16808664,542215,50.81,67.50,75.27,82.57,78.27,23913,0,0,0,0,0,0.00,,11,24.98,18439614,594826,55.74,14339,863429,27853,671.41,21.36
Aug 2023,Pimpri,64,55,9,64,55,448547,402025,12969,236.83,46522,1501,10.37,17507841,564769,43.55,68.81,63.29,70.45,85.56,35184,0,1,1,0,2,0.50,,18,20.44,19489825,628704,48.48,11481,1270395,40980,748.39,15.34
Aug 2023,Bhekrai Nagar,58,51,7,58,51,418357,354716,11442,224.22,63641,2053,15.21,20461638,660053,57.68,58.02,99.42,107.92,87.99,36752,0,0,0,0,0,0.00,,5,26.98,22210390,716464,62.61,14039,1327001,42806,838.81,16.74
Aug 2023,Shewalwadi,28,25,3,28,25,186772,168129,5424,221.22,18643,601,9.98,8477378,273464,50.42,58.18,86.66,95.14,87.56,17967,1,0,0,0,1,0.59,,3,26.72,9306252,300202,55.35,12245,648722,20927,853.58,14.35
Aug 2023,Balewadi,23,18,5,23,18,154554,142074,4583,248.16,12480,403,8.07,7534471,243047,53.03,65.24,81.28,88.84,80.29,15665,0,0,0,0,0,0.00,,5,25.19,8234896,265642,57.96,14384,565631,18246,988.00,14.56
Aug 2023,Baner,29,22,7,29,22,173048,157456,5079,230.70,15592,503,9.01,7226135,233101,45.89,64.38,71.29,78.94,75.92,13896,0,0,0,0,0,0.00,,7,23.07,8002393,258142,50.82,11725,501745,16185,735.16,15.95
Aug 2023,Wagholi,50,46,4,50,46,332153,284790,9187,199.64,47363,1528,14.26,13737161,443134,48.24,60.75,79.40,87.51,92.03,28324,0,0,1,0,1,0.35,,7,24.06,15141175,488425,53.17,10614,1022707,32991,716.93,14.81
Aug 2023,System Total,904,792,113,904,792,6291236,5635425,181788,229.68,655811,21155,10.42,283895783,9157928,50.38,64.73,77.82,85.44,87.56,523448,4,1,2,0,7,1.88,35,164,24.14,311678429,10054143,55.31,12703,18900191,609684,770.29,16.49
Dec 2023,Swargate,19,17,2,19,17,116523,107573,3470,200.32,8949,289,7.68,5745110,185326,53.41,73.93,72.24,77.38,91.17,9033,0,0,0,0,0,0,,2,19.68,6153889,198513,57.21,11460,326322,10527,607.68,18.86
Dec 2023,N.T.Wadi,104,82,22,104,82,784480,654148,21102,258.35,130332,4204,16.61,29096828,938607,44.48,69.71,63.81,69.26,78.54,45887,0,0,0,0,0,0,,21,28.79,31582591,1018793,48.28,12473,1657666,53473,654.69,19.05
Dec 2023,Kothrud,71,63,8,71,63,438046,403985,13032,208.08,34060,1099,7.78,18877905,608965,46.73,59.42,78.65,85.04,88.21,41196,1,1,0,0,2,0.50,,8,26.07,20413049,658485,50.53,10514,1488194,48006,766.52,13.72
