Date,Depot,buses_held,avg_on_road,avg_off_road,schedules_planned,avg_schedules_operated,planned_km,effective_km,daily_avg_effective_km,km_per_bus_per_day,cancelled_km,daily_avg_cancelled_km,pct_cancelled_km,ticket_sale_earning,daily_avg_ticket_earning,earning_per_passenger_ticket,epk_ticket,load_factor_ticket,load_factor_all_traffic,fleet_utilization_pct,total_ticket_passengers,ticket_passengers_per_day,accidents_fatal,accidents_major,accidents_minor,accidents_insignificant,accidents_total,accident_rate_per_lakh_km,electricity_units,electricity_per_day,kmpu,all_traffic_earning,daily_avg_all_traffic,epk_total,earning_per_bus_per_day,total_passengers_travelled,passengers_per_day,avg_passengers_per_bus_per_day,earning_per_passenger_per_day
Jan 2023,Hadapsar,15,15,0,15,15,93000,75553,2437,162.48,17447,563,18.76,3005228,96943,39.78,10.84,65.08,89.73,100.00,277298,8945,0,0,0,0,0,0.00,97355,3140,0.78,4143608,133665,54.84,8911,386830,12478,832,10.71
Jan 2023,Pune Station,90,89,1,90,89,627750,594760,19186,215.57,32990,1064,5.26,20491152,661005,34.45,15.52,56.37,77.72,98.89,1320585,42600,0,0,0,0,0,0.00,722987,23322,0.82,28253201,911394,47.50,10240,1952905,62997,708,14.47
Jan 2023,Nigadi,74,68,6,74,68,505300,465265,15009,220.71,40035,1291,7.92,17712879,571383,38.07,14.64,62.29,85.88,91.89,1209485,39016,0,0,1,0,1,0.21,568545,18340,0.82,24422518,787823,52.49,11586,1723633,55601,818,14.17
Jan 2023,Bhekrai Nagar,103,99,4,100,99,684644,673475,21725,219.44,11170,360,1.63,23147670,746699,34.37,14.24,56.23,60.82,96.12,1626037,52453,0,0,0,0,0,0.00,760535,24533,0.89,25034205,807555,37.17,8157,1868317,60268,609,13.40
Jan 2023,Baner,71,70,1,70,70,434505,431897,13932,199.03,2608,84,0.60,13713100,442358,31.75,14.48,51.95,56.18,98.59,947014,30549,0,0,0,0,0,0.00,566133,18262,0.76,14830718,478410,34.34,6834,1088119,35101,501,13.63
Jan 2023,Wagholi,105,103,2,105,103,697094,672425,21691,210.59,24669,796,3.54,24495605,790181,36.43,16.01,59.60,64.46,98.10,1529914,49352,0,0,0,0,0,0.00,882244,28459,0.76,26491997,854581,39.40,8297,1757871,56706,551,15.07
Jan 2023,System Total,458,444,14,454,444,3042294,2913374,93980,211.67,128919,4159,4.24,102565634,3308569,35.21,14.84,57.60,62.29,96.94,6910333,222914,0,0,1,0,1,0.03,3597800,116058,0.81,110924734,3578217,38.07,8059,8777674,283151,638,12.64
Apr 2023,Hadapsar,15,15,0,15,15,90000,83568,2786,185.71,6432,214,7.15,3545247,118175,15.00,42.42,69.41,75.66,100.00,236360,7879,0,0,0,0,0,0.00,132932,4431,0.63,3864319,128811,46.24,8587,329494,10983,732,11.73
Apr 2023,Pune Station,96,92,4,96,92,648000,598152,19938,216.72,49848,1662,7.69,25034384,834479,19.72,41.85,68.48,74.64,95.83,1269712,42324,0,0,1,0,1,0.17,881844,29395,0.68,27287479,909583,45.62,9887,1848256,61609,670,14.76
Apr 2023,Nigadi,70,65,5,70,65,465000,433617,14454,222.37,31383,1046,6.75,19324704,644157,18.67,44.57,72.92,79.48,92.86,1035225,34508,0,0,0,0,0,0.00,618303,20610,0.70,21063927,702131,48.58,10802,1476684,49223,757,14.26
Apr 2023,Bhekrai Nagar,100,93,7,100,93,669708,596213,19874,213.70,73495,2450,10.97,28300210,943340,18.95,47.47,77.66,84.60,93.00,1493442,49781,0,0,0,0,0,0.00,847578,28253,0.70,30829287,1027643,51.71,11050,2082424,69414,746,14.80
Apr 2023,Baner,72,69,3,72,69,432837,412654,13755,199.35,20183,673,4.66,16767560,558919,18.12,40.63,66.48,73.42,95.83,925310,30844,0,0,0,0,0,0.00,666349,22212,0.62,18517997,617267,44.88,8946,1332959,44432,644,13.89
Apr 2023,Wagholi,105,102,3,105,102,683526,630252,21008,205.96,53274,1776,7.79,31090686,1036356,21.37,49.33,80.71,87.65,97.14,1455088,48503,0,0,0,0,0,0.00,966364,32212,0.65,33764151,1125472,53.57,11034,2077696,69257,679,16.25
Apr 2023,System Total,458,436,22,458,436,2989071,2754455,91815,210.59,234616,7821,7.85,124062791,4135426,19.34,45.04,73.69,80.38,95.20,6415136,213838,0,0,1,0,1,0.04,4113369,137112,0.67,135327160,4510905,49.13,10346,9147514,304917,699,14.79
Aug 2023,Hadapsar,15,15,0,15,15,93000,90740,2927,195.14,2260,73,2.43,4265976,137612,15.85,47.01,77.20,84.25,100.00,269180,8683,0,0,0,0,0,0.00,141944,4579,0.64,4655461,150176,51.31,10012,387168,12489,833,12.02
Aug 2023,Pune Station,96,85,11,96,85,669600,562640,18150,213.53,106960,3450,15.97,28258688,911571,20.60,50.23,82.47,90.00,88.54,1371642,44247,0,0,0,0,0,0.00,757301,24429,0.74,30838716,994797,54.81,11703,1983298,63977,753,15.55
Aug 2023,Nigadi,70,62,8,70,62,480500,417931,13482,217.45,62569,2018,13.02,20866478,673112,17.15,49.93,81.98,89.47,88.57,1216743,39250,0,0,0,0,0,0.00,516819,16672,0.81,22771595,734568,54.49,11848,1760830,56801,916,12.93
Aug 2023,Bhekrai Nagar,112,98,14,112,98,765759,606752,19573,199.72,159006,5129,20.76,34880350,1125173,19.41,57.49,94.40,102.44,87.50,1797171,57973,0,0,0,0,0,0.00,858119,27681,0.71,37851603,1221019,62.38,12459,2513610,81084,827,15.06
Aug 2023,Baner,72,67,5,72,67,448350,412099,13294,198.41,36251,1169,8.09,19521820,629736,18.04,47.37,77.79,85.83,93.06,1082075,34906,0,0,0,0,0,0.00,643348,20753,0.64,21540040,694840,52.27,10371,1568716,50604,755,13.73
Aug 2023,Wagholi,93,79,14,93,79,638523,510751,16476,208.55,127771,4122,20.01,30341446,978756,22.69,59.41,97.55,105.58,84.95,1337159,43134,1,0,1,0,2,0.39,708184,22845,0.72,32841235,1059395,64.30,13410,1939917,62578,792,16.93
Aug 2023,System Total,458,406,52,458,406,3095731,2600914,83900,206.65,494817,15962,15.98,138134758,4455960,19.53,53.11,87.21,95.01,88.65,7073970,228193,1,0,1,0,2,0.08,3625715,116959,0.72,150498650,4854795,57.86,11958,10153539,327534,807,14.82
Dec 2023,Hadapsar,15,14,1,15,14,104625,96735,3120,222.89,7890,255,7.54,3772058,121679,8.39,38.99,64.15,69.56,93.33,449575,14502,0,0,0,0,0,0.00,108293,3493,0.89,4090391,131948,42.28,9425,653198,21071,1505,6.26
Dec 2023,Pune Station,98,96,2,98,96,682000,665907,21481,223.76,16093,519,2.36,30773167,992683,19.37,46.21,76.02,82.44,97.96,1588978,51257,0,0,0,0,0,0.00,827325,26688,0.80,33370188,1076458,50.11,11213,2291740,73927,770,14.56
Dec 2023,Nigadi,74,72,2,74,72,505300,484775,15638,217.19,20525,662,4.06,22510146,726134,16.81,46.43,76.39,82.83,97.30,1338923,43191,0,0,0,0,0,0.00,583679,18828,0.83,24409831,787414,50.35,10936,1968157,63489,882,12.40
