year,city,motor_cycles,scooters,moped,cars,jeeps,stn_wagons,taxis,luxury_tourist,auto_rickshaws,stage_carriages,contract_minibus,school_buses,psv,ambulances,articulated,trucks_lorries,tanker,delivery_van_4w,delivery_van_3w,tractors,trailers,others
2000-2001,Pimpri-Chinchwad,88909,70220,27385,15511,7987,72,536,0,4816,349,394,13,826,206,0,4108,290,5565,4646,3848,1923,156
2000-2001,Pune,298267,228414,138551,74957,26544,946,3736,0,51798,4946,1313,64,1212,677,0,22016,2654,11144,9978,12801,10850,1406
2001-2002,Pimpri-Chinchwad,107289,74392,30156,18467,8757,72,587,0,5288,349,397,27,826,215,0,4285,290,5787,4915,4192,2134,160
2001-2002,Pune,342964,236870,143413,85410,27295,946,4008,0,54181,4454,1402,64,1212,697,0,22035,2725,11412,11269,13352,11411,1433
2002-2003,Pimpri-Chinchwad,128319,76008,32474,20385,9122,72,663,0,5415,349,424,26,499,224,0,4363,290,6347,5565,4514,2272,168
2002-2003,Pune,389599,249253,149339,95571,28068,947,4473,0,55129,4380,1619,64,1212,719,0,22507,2786,12013,12816,13701,11722,1461
2003-2004,Pimpri-Chinchwad,155866,77776,35568,23274,9700,70,950,0,5494,362,465,40,410,235,0,4422,285,7081,6337,4741,2404,173
2003-2004,Pune,440704,264480,157183,108184,28838,949,5005,0,55798,4707,1825,222,1227,735,41,22831,2862,12570,14214,13830,11794,1470
2004-2005,Pimpri-Chinchwad,183312,80179,38049,27209,10140,70,1794,0,5700,480,625,42,445,248,0,4961,294,7764,7180,4889,2473,228
2004-2005,Pune,478096,279346,165232,124603,29097,949,6371,0,56088,4998,2642,302,1238,802,41,22923,2861,11748,14153,12937,8826,1503
2005-2006,Pimpri-Chinchwad,216150,85760,38644,33339,11521,65,2644,0,5944,550,881,45,442,268,0,5814,294,8527,9122,5322,2678,335
2005-2006,Pune,547910,295239,175197,146595,31708,949,7672,0,56583,5254,3053,345,1307,839,41,24709,2920,13414,15488,13275,8838,1777
2006-2007,Pimpri-Chinchwad,256462,93178,38999,41154,12330,65,4283,0,6000,600,1145,45,442,296,0,7515,299,9732,11126,5905,2985,494
2006-2007,Pune,627420,308338,189832,173865,37838,950,10791,0,57832,5254,3836,449,1370,885,41,27396,3138,15254,17011,14657,9179,2512
2007-2008,Pimpri-Chinchwad,305855,93635,38679,52592,13086,65,0,5538,5926,550,1751,49,460,337,0,9208,445,10976,13115,6665,3325,628
2007-2008,Pune,715709,307787,191175,198428,39631,950,0,12504,60189,5254,4905,429,1375,945,53,28723,3403,17695,20700,16059,9482,3391
